"","Description.of.incident","Information.Source"
"25","On April 25, 2012, First Data learned that certain limited personal information about approximately 108,500 merchants who currently process with First Data or who applied for processing services had been shared outside of the company. The names, addresses, and Social Security numbers of merchants who submitted applications to First Data for merchant processing services were purposely disclosed to an outside party in January and February of 2012.  First Data later discovered that this action was not clearly permitted in some merchant contracts.UPDATE: (5/29/2012): Bank of America Merchant Services (BAMS), a joint venture between First Data Corporation and Bank of America, was also involved in the breach.  The personal information of 15,399 California residents was involved.  Of the 15,399 California residents affected, a total of 4,058 residents were merchant customers of BAMS.","California Attorney General"
"26","In November 2011, hackers accessed and released private email accounts belonging to a retired agent for the Department of Justice.  The retired agent was a member of the CATCH.  Some of the emails that the hackers released included data that contained the names, Social Security numbers, addresses, dates of birth, and other personal information of an unknown number of consumers.","California Attorney General"
"27","Altrec discovered a potential information security incident involving the American Express credit cards of people who used the site. Customer information may have been compromised between June 2010 and March 2012.  The potential breach was discovered on May 7, but a detailed forensic investigation did not uncover any evidence of a security breach.  Customer names, addresses, American Express card account numbers, expiration dates, and four digit security codes were stored in Altrec's database and could have been exposed if anyone had accessed it.","California Attorney General"
"28","A vendor of the broker-dealer, National Financial Services (NFS), used by Investacorp was involved in a data security breach.  On or around March 12, 2012, Investacorp learned that an NFS vendor had inadvertently shared electronic files with another federally regulated broker-dealer that also uses NFS's services.  The incident occurred on November 29, 2011 and was first noticed on February 13, 2012. The information included client names, Social Security numbers, and certain types of account data. Five Investacorp clients from California may have been affected, but the total number of affected individuals nationwide was not reported.  The vendor responsible for the mistake worked with the other broker-dealer to delete the client files from their system. Investacorp then received an executed affidavit from the broker-dealer certifying the destruction of the electronic files.  ","California Attorney General"
"29","The theft of a binder from an employee's car resulted in the exposure of sensitive patient information.  The binder was stolen on or around May 7 and had information from a survey conducted at the Bakersfield Memorial Hospital.  Patient names, dates of birth, ages, medications, room numbers, and medical record numbers were exposed.","California Attorney General"
"30","On April 2, 2012, an electronic file was discovered on Next Day Flyer's system.  The file was storing transaction information for customers who placed orders through the company's website between March 23, 2012 and April 2, 2012.  It was discovered when the company found out that an unauthorized person was trying to disrupt traffic to Next Day Flyer's website.  The file was removed, but customer names, credit card information, email addresses, and postal addresses may have been exposed.  ","California Attorney General"
"31","An unauthorized person or persons accessed customer personal information between May 6 and May 10, 2012.  The information was associated with pending and recently shipped orders.  Customer names, addresses, email addresses, phone numbers, ECS customer account passwords, and debit and credit card information may have been exposed. Specifically, credit and debit card expiration dates, security codes, or access codes may have been exposed.  ECS Tuning integrated PayPal's Payflow Pro to add additional security to the ECS checkout process and stopped the storing credit and debit cards for any length of time regardless of order status.","California Attorney General"
"32","Customers who used a payment card on www.gotickets.com may have had their personal and financial information exposed. An investigation revealed that an unauthorized group accessed shipping, billing, and credit card data related to purchases made through the website between May 22 and May 30, 2012.  UPDATE (11/30/2012): At least 105 customers in Maryland may have been affected. It is unclear how many people nationwide are at risk.  It appears that GoTickets continued to experience online breaches in July.  GoTickets updated their online system to increase password security, reduce the number of administrative accounts used, and took additional precautions against future attacks.","California Attorney General"
"33","The servers of ThePartsBin.com were hacked between April 9 and June 12, 2012.  Customer names and credit card information may have been exposed.  ","California Attorney General"
"34","A breach in a third-party software system used to process credit card transactions in some USC dining halls, including Ronald Tutor Campus Center, Seeds, the Lab on Figueroa St., and Starbucks on the Health Sciences Campus resulted in the exposure of credit card numbers.  The breach of USC Hospitality most likely occurred from May 21 to June 21, but may have occurred earlier.  Names and contact information were not associated with the credit card numbers.","California Attorney General"
"35","A former employee of Scripps College allowed a personal contact outside of the College to access financial aid application information.  The issue was discovered during a review of Scripps College Financial Aid Office processes.  It appears that the former employee shared the information to obtain assistance in evaluating applications and preparing potential aid packages.  Names, Social Security numbers, dates of birth, and other financial information may have been exposed at various times between 2008 and 2012.","California Attorney General"
"36","An unencrypted USB memory chip was shipped against company policy.  The envelope that contained it arrived at its destination on May 14 with a tear and missing the USB memory chip.  Names, home addresses, telephone numbers, email addresses, ID numbers, dates of birth, driver's license numbers, Social Security numbers, dental information, and dental insurance information of patients was exposed.UPDATE (08/03/2012): A total of 1,112 Hamner Square Dental patients and 2,533 River Arch Dental patients were affected.","California Attorney General"
"37","A customer notified Mission Linen Supply of unauthorized charges on the credit cards of several other customers.  Mission Linen Supply discovered that the third party vendor who stores and maintains purchase information for their web stores had a data breach.  The unnamed vendor experienced an unauthorized access of their file servers.  Customers who made online purchases may have had their credit or debit card numbers, expiration dates, and possibly name and other payment card information compromised. The customer contacted Mission Linen Supply on June 29, but it is unclear when the vendor experienced the data breach.","California Attorney General"
"38","Five laptops were stolen from an unnamed auditor of Petco's 401(k) Plan between May 18 and May 20.  The auditor informed Petco on July3.  Current and former employee names, Social Security numbers, and other 401(k) account information may have been exposed. Anyone who was issued a Petco paycheck in 2010, had a 401(k) account and received a distribution, or had a fee deducted from their account in 2011 may have been affected.","California Attorney General"
"39","On July 13, MassMutual inadvertently sent a report via secure email that included client information to an incorrect retirement Plan Sponsor.  Client names, Social Security numbers, and 401(k) balance information were exposed.  The individual who received the plan information informed MassMutual of the error immediately and claimed to have deleted the information without storing or printing it.","California Attorney General"
"40","A total of 2,457 Nordstrom fsb customers in California were affected by a mailing error caused by an administrative error.  Cardholder statements, replacement credit cards, or other correspondence were mistakenly sent to addresses other than those of intended cardholders. The issue was discovered on June 7 and was the result of an attempt to reformat addresses to U.S. Postal Service standards.  Those who were affected were notified in June and July.","California Attorney General"
"41","A June 11 theft of materials inside of a kiosk mailbox located outside of the CCHCS Regional Administration building may have resulted in the exposure of sensitive information.  Documents that included prospective employment candidate responses to employment inquiries with personally identifiable information may have been in the mailbox.  California State Employment Application forms and applicable documents include names, Social Security numbers, driver's license numbers, residential addresses, dates of birth, telephone numbers, email addresses, employment histories, education histories, and other employment information of prospective candidates. ","California Attorney General"
"42","Sensitive information that may have been in the form of paper records was improperly disposed of on August 2.  Client names, account types, account numbers, tax payer identification numbers, and Social Security numbers may have been exposed.  ","California Attorney General"
"43","A breach at Creative Croissants results in the exposure of customer credit card information.  It is unclear how the breach occurred and the date of the breach was March 2, 2012.","California Attorney General"
"44","An unspecified number of Discover customers had their account numbers changed and were issued a new card.  It is unclear what type of security breach prompted the notification and when it may have occurred. Several customers in California received the notification letter; residents of other states may have been notified as well.","California Attorney General"
"45","A breach by an unauthorized party was discovered and contained on July 26.  The unauthorized party injected malicious code into the Bellacor website on June 7.  Temporary files including customer names, addresses, phone numbers, and encrypted credit card information may have been exposed.","California Attorney General"
"46","An employee was caught misusing customer information on July 28.  The dishonest employee had been improperly using customer names, Social Security numbers, addresses, dates of birth, and credit card numbers for at least two months. An unspecified number of customers had fraudulent online purchases made in their names.","California Attorney General"
"47","A set of internal emails were sent to various JSCo employees on August 7 and August 13.  The emails contained the names, Social Security numbers, and in some cases, dates of birth of other employees.  Employees were instructed to delete the email upon discovery.  ","California Attorney General"
"48","TwinSpires.com computer records were breached on August 3, 2012.  Customer names, cryptographically hashed Social Security numbers, dates of birth, and email addresses may have been exposed.  ","California Attorney General"
"49","The WhatGreatSkin.com servers were hit by an organized attack on the afternoon of August 28.  Hackers may have accessed customer names, addresses, and credit card details. Customers were warned to be cautious of phishing attempts for Social Security numbers, credit card information, or any other personal information.","California Attorney General"
"50","An electronic filing report was found during a raid.  The report contained tax return information such as Social Security numbers. ","California Attorney General"
"51","A USB drive was determined to be lost on August 13, 2012. Information from the non-medical program within the SF Culinary, Bartetenders, and Service Employees Welfare Plan was on the flash drive.  People who participated in the Child and Elder Care Plan may ahve had their names, Social Security numbers, and addresses exposed.","California Attorney General"
"52","A July 22 Saint Therese office theft of a computer resulted in the exposure of patient information.  The computer was unencrypted; however, it was password protected.Names, Social Security numbers, dates of birth, health insurer names, dates of treatment, amount billed, and account balances were exposed. Notifications were sent on September 17.","California Attorney General"
"53","A hacker breached a data server located at a Transcend Capital branch during the week of August 20.  Client names, Social Security numbers, addresses, account numbers, telephone numbers, email addresses, security positions, and cash positions may have been exposed.  Clients were encouraged to change their passwords.  A total of 236 clients who are California residents were affected, but the total number of clients affected nationwide was not disclosed.","California Attorney General"
"54","A September 14, 2012 home burglary resulted in the theft of a laptop.  The laptop was password-protected and was stolen along with other items.  Student names and Social Security numbers were on the laptop.  ","California Attorney General"
"55","Two data backup tapes were lost during shipping in late March 2012.  The tapes included customer names, Social Security numbers, addresses, account numbers, debit card numbers, and credit card numbers.UPDATE (10/13/2012): A total of 260,000 customers from Maine to Florida were notified. UPDATE (10/15/2014):  ""TD Bank NA has agreed to pay $850,000 to settle a multistate probe into the security breach, New York's attorney general said"".More Information: http://www.bloomberg.com/news/2014-10-15/td-bank-resolves-claims-over-da...UPDATE (12/10/2014): TD Bank has settled with the state of Massachusetts for $625,000, seperate from the above previous settlement deals the bank made with other states. More Information: http://www.americanbanker.com/news/bank-technology/td-bank-pays-625000-i...","California Attorney General"
"56","A mailing error caused ID cards to be mailed to the wrong members.  The cards were mailed on September 17, 2012 and the problem was discovered on September 18, 2012.  Names, member ID numbers, and dates of birth were exposed.UPDATE (05/21/2013): A total of 18,000 people were affected.","California Attorney General"
"57","An office burglary resulted in the theft of a computer.  The incident was discovered on September 15, 2012.  Patient names and Social Security numbers were on the computer.UPDATE (10/24/2012): The computer contained medical records and insurance information.","California Attorney General"
"58","PIN pad devices used to process credit and debit card information in stores were compromised.  The breach was discovered around September 14 during maintenance and inspection of the devices.  Anyone who used a credit or debit card at a Barnes & Noble may have been affected by a sophisticated criminal effort to steal that information.  Names, payment card account numbers, and PINs may have been exposed.  Barnes & Noble removed all PIN pads. Fewer than 1% of the inspected PIN pads had been affected.UPDATE (10/24/2012): A total of 63 Barnes and Noble stores in nine states had at least one compromised PIN pad device.  Malicious code was installed on the PIN pads.UPDATE (09/05/2013): A federal judge ruled that customers failed to show that their personal information was stolen in the data breach.","California Attorney General"
"59","A Kaiser Permanente Northern California Region Recruitment employee mistakenly sent an email to unauthorized parties on August 24.  Former Northern California Kaiser employees who left Kaiser between 1990 and 2006 may have had their names and Social Security numbers exposed. Kaiser IT Security conducted a detailed analysis to confirm that the recipient did not forward or print the email. The analysis also revealed that the email had been deleted and could no longer be accessed.","California Attorney General"
"60","An employee resigned and left with customer account information.  Names, Account numbers, account types, and phone numbers may have been exposed.  The breach occurred in late July.","California Attorney General"
"61","Sensitive staff information on a database file was found to have been accessible to all SVSP staff.  Staff names, Social Security numbers, phone numbers, addresses, and institutional-position information were exposed.  The breach was discovered on September 26 and it is unclear how long the information was available.","California Attorney General"
"62","An unauthorized person may have gained access to the computer network that supported certain 4Access terminals.  These terminals were connected to a computer network that allowed merchant transaction processing.  The unauthorized entry was discovered on September 24.  Check processing information stored in the network such as check writer's name, checking account and routing numbers, address, and driver's license number may have been accessed. No credit card information was exposed.  ","California Attorney General"
"63","An employee may have performed unauthorized searches on clients.  The employee is no longer with the company.  Names, Social Security numbers, addresses, dates of birth, and driver's license numbers may have been exposed.  The potential breach was discovered in July and clients were notified in October after their contact information was confirmed.","California Attorney General"
"64","A portion of the computer network used by Nationwide and Allied Insurance agents was breached by cyber criminals on October 3.  The attack was discovered on the same day and contained.  On October 16, it was determined that names, Social Security numbers, driver's license numbers, dates of birth, marital status, gender, occupation, and employer information had been stolen.  Affected parties were identified on November 2 and notifications were sent on November 16.UPDATE (11/20/2012): At least 28,000 people in Georgia were affected.  The total number of affected people is not known.UDPATE (12/10/2012): A total of 28,468 people in Georgia, 534 in Oklahoma, 12,490 in South Carolina, 286 in Maryland, 5,050 in California, 91,000 in Iowa, 170 in Hawaii, 8,000 in New Mexico, and 98,191 in Minnesota were affected. This brings the known total to 244,188.  Nationwide/Allied Group reported that the breach compromised the information of one million policyholders and non-policyholders nationwide.","California Attorney General"
"65","A hacker gained access to the ATS system and may have accessed financial information.  The attack was discovered on August 1 and financial information was immediately removed from the ATS online system.  ","California Attorney General"
"66","An employee disclosed personal information about workers compensation claimants between October 2011 and March 2012.  Workers compensation claimants who received spinal surgery in Southern California between 2004 and 2011 or had urinalysis testing, diagnostics or medical services performed in California between 2006 and 2011 may have had their information exposed.It does not appear that Social Security numbers or other identifying information exposed were used to compromise the security, confidentiality, or integrity of the personal information. UPDATE (11/23/2012): About 2,700 workers' compensation claimants were affected.","California Attorney General"
"67","Information from certain ambulance agencies was inappropriately accessed and disclosed.  Patient account information such as names, Social Security numbers, dates of birth, and record identifiers were exposed by a dishonest ADPI employee. ADPI learned of the breach on October 1. The dishonest employee was fired and apprehended by authorities.UPDATE (12/04/2012): The former ADPI employee stole information associated with Grady EMS ambulance service. About 900 Grady EMS patients had their information exposed between June 15, 2012 and October 12, 2012.UPDATE (01/05/2013): A detailed list of the organizations and number of people who were affected is available on phiprivacy.net here: http://www.phiprivacy.net/?p=10825UPDATE (03/08/2013): Osceola County EMS released a notification in March of 2013 here: http://tinyurl.com/a335kakUPDATE (03/14/2013): The Yuma, Arizona Fire Department was also affected by the breach.  ADP handles the billing for Yuma's emergency medical services.  Names, Social Security numbers, dates of birth, and record identifiers may have been accessed.UPDATE (08/28/2013): ADPI learned of the tax scheme after being notified by Tampa, Florida police.  The IRS confirmed that Valparaiso Fire Department information was compromised by the breach in July of 2013.  Patients seen at Valparaiso Fire Department or by Valparaiso Fire Department ambulances between January 1 and June 21 of 2012 may have had their names, Social Security numbers, and dates of birth exposed.","California Attorney General"
"68","A referral document containing sensitive information was accidentally sent in an email to an unauthorized recipient.  Patient names, Social Security numbers, dates of birth, addresses, and health concerns were sent to a county social worker. The county social worker deleted the sensitive email and any other existing copies of the document were securely deleted from the network.  The WestCoast Children's Clinic will not provide referral forms to outside agencies in order to protect against future inadvertent sharing of private information.  Disciplinary actions will also be taken against the employees involved in the privacy breach.","California Attorney General"
"69","Names and Social Security numbers were discovered on the website of the Department of Health Care Services.  People who sent their information in order to become a provider of In-Home Supportive Services (IHSS) may have had their information exposed online between November 5, 2012 and November 20.  The issue was discovered on November 14 and was not fully addressed until November 20.  The list should have only contained provider names, addresses, and provider types. It also contained Social Security numbers that were listed in the column for Provider Billing Numbers.  The Social Security numbers were not easily recognizable in this format.UPDATE (12/11/2012): Nearly 14,000 people were affected.","California Attorney General"
"70","The November 15 office theft of several computers may have resulted in the exposure of current and former employee information.  PGS believes that the computers were stolen for their hardware and software value rather than the information they contained.  Some former and current PGS employees had their names, addresses, Social Security numbers, and possibly other types of information exposed.","California Attorney General"
"71","The October 10 theft of a laptop resulted in the exposure of sensitive information.  A WeiserMazars employee had a laptop stolen that contained names, Social Security numbers, and in some cases, addresses, dates of birth, 401(k) information, and payroll information for Accume Partner 401(l) Plan participants.  WeiserMazars audits the statement of net assets available for Accume Partner's 401(k) plan.  WeiserMazars notified Accume Partners on October 31 and Accume Partners sent notifications to those who may have been affected on November 16.","California Attorney General"
"72","A University laptop was stolen from an employee's locked car.  Pepperdine learned of the theft on November 12, 2012.  The laptop may have contained names, Social Security numbers, addresses, and/or dates of birth.UPDATE (12/11/2012): As many as 8,300 people may have been affected.  The laptop had been used for work related to the IRS and contained data from as far back as 2008.  About 75 percent of the people affected were students.","California Attorney General"
"73","Wilton learned that a malicious user was able to view user information between July 19 and October 2 of 2012.  The user had added a file to a computer server that hosts www.wilton.com and www.copco.com.  Names, addresses, telephone numbers, and payment card numbers, expiration dates, and security codes may have been accessed.  The discovery was made sometime around October 31 and notifications were sent on December 10.The malicious user was unable to access payment card information between October 2 and the discovery of the breach on October 31 because Wilton changed its payment processing system on October 2.  Wilton took additional security measures after learning of the breach on or around October 31.","California Attorney General"
"74","A December 1 office burglary resulted in the theft of an unencrypted computer.  The computer contained files that included current and former Mt. Diablo Unified School District employee names, Social Security numbers, dates of birth, and addresses.  People who were employees between 1998 and 2010 may have been affected.","California Attorney General"
"75","A skimming device on an ATM resulted in fraudulent transactions on over 800 accounts.  The fraudulent transactions appear to date from October 27, 2012 to November 7, 2012. It is not clear how many skimming devices were involved and where they were located.","California Attorney General"
"76","A laptop was discovered lost or stolen on November 5, 2012.  The possible theft is presumed to have taken place sometime around October 31, 2012.  The laptop may have contained employee names, Social Security numbers, addresses, and dates of birth.","California Attorney General"
"77","An unauthorized party accessed WTH's booking system by misusing the log-in credentials of an authorized user.  Encrypted credit card numbers and expiration dates that were stored and could be decrypted in the system were exposed.","California Attorney General"
"78","Western University of Health Sciences' BanWeb Self-Service Federal Work Study reports were accessible to people who used BanWeb with a Western University of Health Sciences user ID and password.  The reports contained names, Social Security numbers, and direct deposit bank account information in some cases. The information was available for an unspecified amount of time. Western University of Health Sciences conducted an investigation and reported that there was no reason to believe sensitive information was accessed by unauthorized BanWeb users.  Western University of Health Sciences disabled access to the reports after learning about the breach on November 14. Notifications were sent on December 18.","California Attorney General"
"79","Customers who used payment cards in several store locations discovered fraudulent charges on their debit and credit cards.  It is unclear if a breach affected the physical machines in the stores or if the payment processing system was hacked.  The company discovered the issue on December 4 and an investigation revealed that the intrusions began on November 7, 2012.  Anyone who used their payment card in a store between November 7 and December 5 of 2012 should closely review their financial statements.  Customers are also warned to be suspicious of phishing emails or phone calls.  Customers should not give their information out over the phone or respond to emails asking for sensitive information.","California Attorney General"
"80","An electronic device was stolen from the home office of an employee of Bally Technologies.  The electronic equipment contained names, Social Security numbers, driver's license numbers, and bank account information.  The equipment may have been stolen for its resell value rather than the value of the information.","California Attorney General"
"81","Beneficiary Identification Cards (BICs) were mailed to the wrong recipients between December 10 and December 18.  A computer programming error caused the BICs of children being moved from Healthy Families program enrollment to Medi-Cal enrollment to be sent to households of other Medi-Cal and Healthy Families participants.  Names, Client Index Numbers, dates of birth, genders, and card issue dates were exposed.  People who received incorrect cards were instructed to return them.  Stamped envelopes that were addressed to DHCS were sent out with breach notifications. ","California Attorney General"
"82","A sensitive document was accidentally attached to an email that was sent to students.  The attachment contained names, Social Security numbers, dates of birth, student attendance information, and information regarding their program.  The email was intended to inform students about open positions.","California Attorney General"
"83","An office theft of an unencrypted laptop on or around December 15 resulted in the exposure of confidential personal information.  The laptop contained an Excel spreadsheet with workers' compensation information such as names, Social Security numbers, telephone numbers, and other workers' compensation claim or injury information.","California Attorney General"
"84","An unauthorized intrusion was detected on the morning of Tuesday November 27.  The unauthorized access began on November 26 and access to the breached web application was immediately shut down upon discovery.  Customers who completed Rosenthal Collins Group account forms online may have had their names, Social Security numbers, addresses, dates of birth, range of net worth and income, bank names, passwords for accessing the web application, and email addresses exposed.","California Attorney General"
"85","A report containing the names and Social Security numbers of a group of Reyes Beverage Group's California employees was accidentally sent to the personal email address of an employee of Reinhart Foodservice.  Reinhart Foodservice is a Reyes Holdings company as well.  It is unclear how the email was accidentally sent and why it ended up in the personal email of an employee at a different division.","California Attorney General"
"86","The owner of a group of childcare services pleaded guilty to defrauding Medicaid of $8 million.  She and a co-defendant targeted medicaid recipients in order to enroll them in a program and make fraudulent Medicaid claims for mental and behavioral health services.  Additionally, the owner pleaded guilty to misusing at least one therapist's credentials in order to make the claims for mental and behavioral health services.  The scheme took place between 2008 and 2012.","California Attorney General"
"87","A computer was stolen during an office burglary that occurred sometime around November 5, 2012.  The computer contained patient names, dates of birth, and a minimal amount of patient medical information.","California Attorney General"
"88","Anyone who purchased items on www.accesscatalog.com using a credit card may have been affected by a breach that began in August 2010.  An unauthorized party may have obtained names, credit or debit card numbers, expiration dates, and payment card verification codes.  Centric Group learned of the incident on or around December 13, 2012.","California Attorney General"
